,model_name,RMSE,MAE,R2,MAPE
0,LSTM,0.041933608853327385,0.03913929950580566,-12.439945599444249,1.692479047809891
7,Ensemble,0.06499525840389338,0.054266804156945084,-31.28764581706514,2.3512736606289804
2,BiLSTM,0.06692082614834266,0.046492132764281255,-33.22911090727178,2.0155866248710597
6,RF,0.08223685594678086,0.07285503463069005,-50.689939921826564,3.1522155184023055
5,XGBoost,0.10239970815170908,0.10156235418838404,-79.14389932640825,4.3967245004203
4,Transformer,0.15267435005996685,0.12529647154854628,-177.15794344552535,5.428475751410728
1,GRU,0.39596803589052476,0.2835185350811224,-1197.3765160827934,12.307583627255752
3,TCN,0.4886482530586406,0.4299149401047917,-1824.012032051401,18.630638855965575
