,model_name,RMSE,MAE,R2,MAPE
3,TCN,0.04358771018169044,0.03384412145799911,0.9634588664112647,3.1889675107484883
2,BiLSTM,0.22428342429423181,0.16763411773606104,0.03250603829501808,13.797384565609894
7,Ensemble,0.27931858043399765,0.22682611801088665,-0.5005606697369311,19.035894245883547
0,LSTM,0.3015815883902789,0.24569289470691727,-0.7492970162756589,20.703541951155028
4,Transformer,0.304803517581508,0.24593930324202032,-0.7868736978113005,20.75958199622125
6,RF,0.30502136156385906,0.22073925277578837,-0.7894287784606759,17.431647352655766
5,XGBoost,0.4679320030776,0.4129357318648573,-3.2113312629722985,35.75693893110229
1,GRU,0.47983274681301036,0.40375664898364755,-3.428265731561221,35.625676426474286
