,model_name,RMSE,MAE,R2,MAPE
3,TCN,0.15270106453873944,0.13366450186405823,0.5515252088626017,13.858831039131324
2,BiLSTM,0.20810999789007717,0.17990431109516924,0.16700998321540228,16.92997182725829
7,Ensemble,0.2260826661259009,0.17171634534578337,0.016920954911870956,14.39051736228831
0,LSTM,0.2586857041845561,0.19400533454260036,-0.28705991498964445,16.20252105295296
1,GRU,0.2944213450743696,0.2186787222964916,-0.6672183889533225,17.96420950223696
6,RF,0.3069930391777033,0.2287451688337329,-0.812637512602163,18.500121613208076
4,Transformer,0.31011590605287653,0.2451526059756496,-0.8497029576984767,20.372101980934744
5,XGBoost,0.4665145822608664,0.4071486367536798,-3.185856673446531,34.973118815685815
